
############## annie - 02/07/21 15:25:46 EST -0500 ##############

2021-02-07 15:25:47 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2021-02-07 16:26:49 64 bytes from 8.8.8.8: icmp_seq=62 ttl=117 time=41.2 ms
2021-02-07 16:27:49 64 bytes from 8.8.8.8: icmp_seq=63 ttl=117 time=43.2 ms
2021-02-07 16:28:49 64 bytes from 8.8.8.8: icmp_seq=64 ttl=117 time=57.8 ms
2021-02-07 16:29:50 64 bytes from 8.8.8.8: icmp_seq=65 ttl=117 time=34.7 ms
2021-02-07 16:30:50 64 bytes from 8.8.8.8: icmp_seq=66 ttl=117 time=36.4 ms
2021-02-07 16:31:50 64 bytes from 8.8.8.8: icmp_seq=67 ttl=117 time=45.0 ms
2021-02-07 16:32:50 64 bytes from 8.8.8.8: icmp_seq=68 ttl=117 time=36.8 ms
2021-02-07 16:33:50 64 bytes from 8.8.8.8: icmp_seq=69 ttl=117 time=37.6 ms
2021-02-07 16:34:50 64 bytes from 8.8.8.8: icmp_seq=70 ttl=117 time=46.6 ms
2021-02-07 16:35:50 64 bytes from 8.8.8.8: icmp_seq=71 ttl=117 time=37.2 ms
2021-02-07 16:36:50 64 bytes from 8.8.8.8: icmp_seq=72 ttl=117 time=33.6 ms
2021-02-07 16:37:50 64 bytes from 8.8.8.8: icmp_seq=73 ttl=117 time=30.3 ms
2021-02-07 16:38:50 64 bytes from 8.8.8.8: icmp_seq=74 ttl=117 time=48.3 ms
2021-02-07 16:39:50 64 bytes from 8.8.8.8: icmp_seq=75 ttl=117 time=52.2 ms
2021-02-07 16:40:50 64 bytes from 8.8.8.8: icmp_seq=76 ttl=117 time=31.6 ms
2021-02-07 16:41:50 64 bytes from 8.8.8.8: icmp_seq=77 ttl=117 time=35.3 ms
2021-02-07 16:42:50 64 bytes from 8.8.8.8: icmp_seq=78 ttl=117 time=31.1 ms
2021-02-07 16:43:50 64 bytes from 8.8.8.8: icmp_seq=79 ttl=117 time=39.2 ms
